NPD_ID,Noise Metric,Op Mode,Power Setting,Engine Type,Wight class,Number Of Engines,Landing Distance,MTOW(Ibs),L_10000ft
PW615F,LAmax,A,300,Jet,Small,2,3010,8645,32.2
PW615F,LAmax,A,500,Jet,Small,2,3010,8645,35
PW615F,PNLTM,A,300,Jet,Small,2,3010,8645,37.3
PW615F,LAmax,D,700,Jet,Small,2,3010,8645,39.2
PW615F,PNLTM,A,500,Jet,Small,2,3010,8645,41.5
PW615F,LAmax,D,900,Jet,Small,2,3010,8645,42.5
PW615F,EPNL,A,300,Jet,Small,2,3010,8645,45.7
PW615F,PNLTM,D,700,Jet,Small,2,3010,8645,45.7
PW615F,LAmax,D,1100,Jet,Small,2,3010,8645,45.7
PW615F,LAmax,D,1300,Jet,Small,2,3010,8645,48.3
PW615F,EPNL,A,500,Jet,Small,2,3010,8645,48.4
PW615F,PNLTM,D,900,Jet,Small,2,3010,8645,49.4
PW615F,EPNL,D,700,Jet,Small,2,3010,8645,52.6
PW615F,SEL,A,300,Jet,Small,2,3010,8645,52.7
PW615F,PNLTM,D,1100,Jet,Small,2,3010,8645,53.4
PW615F,SEL,A,500,Jet,Small,2,3010,8645,53.9
PW615F,SEL,D,700,Jet,Small,2,3010,8645,55.2
PW615F,EPNL,D,900,Jet,Small,2,3010,8645,56.2
PW615F,PNLTM,D,1300,Jet,Small,2,3010,8645,56.7
PW615F,SEL,D,900,Jet,Small,2,3010,8645,59.2
PW615F,EPNL,D,1100,Jet,Small,2,3010,8645,59.6
PW615F,SEL,D,1100,Jet,Small,2,3010,8645,62.5
PW615F,EPNL,D,1300,Jet,Small,2,3010,8645,64.3
PW615F,SEL,D,1300,Jet,Small,2,3010,8645,65.4
PT6A114,LAmax,D,1009,Turboprop,Small,1,1740,8750,47.1
PT6A114,LAmax,A,400,Turboprop,Small,1,1740,8750,48.3
PT6A114,LAmax,A,427,Turboprop,Small,1,1740,8750,48.3
PT6A114,LAmax,A,463,Turboprop,Small,1,1740,8750,48.7
PT6A114,LAmax,D,1899,Turboprop,Small,1,1740,8750,50.1
PT6A114,PNLTM,D,1009,Turboprop,Small,1,1740,8750,58.7
PT6A114,SEL,D,1009,Turboprop,Small,1,1740,8750,59.4
PT6A114,PNLTM,A,463,Turboprop,Small,1,1740,8750,59.7
PT6A114,PNLTM,A,400,Turboprop,Small,1,1740,8750,60
PT6A114,PNLTM,A,427,Turboprop,Small,1,1740,8750,60
PT6A114,SEL,A,463,Turboprop,Small,1,1740,8750,60.6
PT6A114,SEL,A,400,Turboprop,Small,1,1740,8750,61
PT6A114,SEL,A,427,Turboprop,Small,1,1740,8750,61
PT6A114,EPNL,D,1009,Turboprop,Small,1,1740,8750,61.2
PT6A114,PNLTM,D,1899,Turboprop,Small,1,1740,8750,61.4
PT6A114,EPNL,A,463,Turboprop,Small,1,1740,8750,61.7
PT6A114,EPNL,A,400,Turboprop,Small,1,1740,8750,62.6
PT6A114,EPNL,A,427,Turboprop,Small,1,1740,8750,62.6
PT6A114,SEL,D,1899,Turboprop,Small,1,1740,8750,62.6
PT6A114,EPNL,D,1899,Turboprop,Small,1,1740,8750,63.6
TPE331,LAmax,A,30,Turboprop,Small,2,1939,9900,42.8
TPE331,LAmax,D,30,Turboprop,Small,2,1939,9900,42.8
TPE331,PNLTM,A,30,Turboprop,Small,2,1939,9900,45.8
TPE331,PNLTM,D,30,Turboprop,Small,2,1939,9900,45.8
TPE331,LAmax,A,100,Turboprop,Small,2,1939,9900,49.8
TPE331,LAmax,D,100,Turboprop,Small,2,1939,9900,49.8
TPE331,PNLTM,A,100,Turboprop,Small,2,1939,9900,53.9
TPE331,PNLTM,D,100,Turboprop,Small,2,1939,9900,53.9
TPE331,EPNL,A,30,Turboprop,Small,2,1939,9900,54
TPE331,EPNL,D,30,Turboprop,Small,2,1939,9900,54
TPE331,SEL,A,30,Turboprop,Small,2,1939,9900,55.9
TPE331,SEL,D,30,Turboprop,Small,2,1939,9900,55.9
TPE331,EPNL,A,100,Turboprop,Small,2,1939,9900,62.1
TPE331,EPNL,D,100,Turboprop,Small,2,1939,9900,62.1
TPE331,SEL,A,100,Turboprop,Small,2,1939,9900,62.7
TPE331,SEL,D,100,Turboprop,Small,2,1939,9900,62.7
PT6A41,LAmax,A,300,Turboprop,Small,2,3300,11200,40.4
PT6A41,LAmax,A,311,Turboprop,Small,2,3300,11200,40.4
PT6A41,LAmax,D,820,Turboprop,Small,2,3300,11200,44.4
PT6A41,LAmax,D,1153,Turboprop,Small,2,3300,11200,47.5
PT6A41,PNLTM,A,300,Turboprop,Small,2,3300,11200,52.1
PT6A41,PNLTM,A,311,Turboprop,Small,2,3300,11200,52.1
PT6A41,PNLTM,D,820,Turboprop,Small,2,3300,11200,56.3
PT6A41,SEL,A,300,Turboprop,Small,2,3300,11200,57.3
PT6A41,SEL,A,311,Turboprop,Small,2,3300,11200,57.3
PT6A41,PNLTM,D,1153,Turboprop,Small,2,3300,11200,58.4
PT6A41,SEL,D,820,Turboprop,Small,2,3300,11200,58.5
PT6A41,EPNL,A,300,Turboprop,Small,2,3300,11200,58.7
PT6A41,EPNL,A,311,Turboprop,Small,2,3300,11200,58.7
PT6A41,EPNL,D,820,Turboprop,Small,2,3300,11200,60.7
PT6A41,SEL,D,1153,Turboprop,Small,2,3300,11200,61.6
PT6A41,EPNL,D,1153,Turboprop,Small,2,3300,11200,62.7
RAISQP,LAmax,A,23,Turboprop,Small,2,1500,12500,30
RAISQP,LAmax,A,30,Turboprop,Small,2,1500,12500,33.6
RAISQP,PNLTM,A,23,Turboprop,Small,2,1500,12500,34.6
RAISQP,PNLTM,A,30,Turboprop,Small,2,1500,12500,41
RAISQP,LAmax,D,60,Turboprop,Small,2,1500,12500,42.6
RAISQP,EPNL,A,23,Turboprop,Small,2,1500,12500,42.8
RAISQP,EPNL,A,30,Turboprop,Small,2,1500,12500,48.9
PT6A27,LAmax,A,30,Turboprop,Small,2,1500,12500,49.8
PT6A27,LAmax,D,30,Turboprop,Small,2,1500,12500,49.8
RAISQP,SEL,A,23,Turboprop,Small,2,1500,12500,50.1
RAISQP,LAmax,D,85,Turboprop,Small,2,1500,12500,50.2
PT6A27,PNLTM,A,30,Turboprop,Small,2,1500,12500,52.8
PT6A27,PNLTM,D,30,Turboprop,Small,2,1500,12500,52.8
RAISQP,SEL,A,30,Turboprop,Small,2,1500,12500,52.9
RAISQP,PNLTM,D,60,Turboprop,Small,2,1500,12500,53.3
PT6A27,LAmax,A,100,Turboprop,Small,2,1500,12500,55.6
PT6A27,LAmax,D,100,Turboprop,Small,2,1500,12500,55.6
RAISQP,LAmax,D,100,Turboprop,Small,2,1500,12500,57.7
RAISQP,EPNL,D,60,Turboprop,Small,2,1500,12500,60.4
RAISQP,SEL,D,60,Turboprop,Small,2,1500,12500,60.8
PT6A27,EPNL,A,30,Turboprop,Small,2,1500,12500,61
PT6A27,EPNL,D,30,Turboprop,Small,2,1500,12500,61
PT6A27,PNLTM,A,100,Turboprop,Small,2,1500,12500,61.1
PT6A27,PNLTM,D,100,Turboprop,Small,2,1500,12500,61.1
PT6A27,SEL,A,30,Turboprop,Small,2,1500,12500,62.9
PT6A27,SEL,D,30,Turboprop,Small,2,1500,12500,62.9
RAISQP,PNLTM,D,85,Turboprop,Small,2,1500,12500,63.9
RAISQP,SEL,D,85,Turboprop,Small,2,1500,12500,68
PT6A27,SEL,A,100,Turboprop,Small,2,1500,12500,68.6
PT6A27,SEL,D,100,Turboprop,Small,2,1500,12500,68.6
PT6A27,EPNL,A,100,Turboprop,Small,2,1500,12500,69.3
PT6A27,EPNL,D,100,Turboprop,Small,2,1500,12500,69.3
RAISQP,PNLTM,D,100,Turboprop,Small,2,1500,12500,69.6
RAISQP,EPNL,D,85,Turboprop,Small,2,1500,12500,71
RAISQP,SEL,D,100,Turboprop,Small,2,1500,12500,75.2
RAISQP,EPNL,D,100,Turboprop,Small,2,1500,12500,77.5
TPE331-5,LAmax,A,460,Turboprop,Large,2,2375,13669,39.5
TPE331-5,LAmax,A,300,Turboprop,Large,2,2375,13669,41.1
TPE331-5,LAmax,A,306,Turboprop,Large,2,2375,13669,41.1
TPE331-5,LAmax,D,1791,Turboprop,Large,2,2375,13669,45.2
TPE331-5,LAmax,D,1800,Turboprop,Large,2,2375,13669,45.2
TPE331-5,LAmax,D,1491,Turboprop,Large,2,2375,13669,45.3
TPE331-5,PNLTM,A,460,Turboprop,Large,2,2375,13669,50.2
TPE331-5,PNLTM,A,300,Turboprop,Large,2,2375,13669,52
TPE331-5,PNLTM,A,306,Turboprop,Large,2,2375,13669,52
TPE331-5,EPNL,A,460,Turboprop,Large,2,2375,13669,54
TPE331-5,SEL,A,460,Turboprop,Large,2,2375,13669,54.8
TPE331-5,EPNL,A,300,Turboprop,Large,2,2375,13669,56.9
TPE331-5,SEL,A,300,Turboprop,Large,2,2375,13669,56.9
TPE331-5,EPNL,A,306,Turboprop,Large,2,2375,13669,56.9
TPE331-5,SEL,A,306,Turboprop,Large,2,2375,13669,56.9
TPE331-5,PNLTM,D,1791,Turboprop,Large,2,2375,13669,58.3
TPE331-5,PNLTM,D,1800,Turboprop,Large,2,2375,13669,58.3
TPE331-5,PNLTM,D,1491,Turboprop,Large,2,2375,13669,59
TPE331-5,SEL,D,1791,Turboprop,Large,2,2375,13669,59.8
TPE331-5,SEL,D,1800,Turboprop,Large,2,2375,13669,59.8
TPE331-5,SEL,D,1491,Turboprop,Large,2,2375,13669,60.8
TPE331-5,EPNL,D,1791,Turboprop,Large,2,2375,13669,61.9
TPE331-5,EPNL,D,1800,Turboprop,Large,2,2375,13669,61.9
TPE331-5,EPNL,D,1491,Turboprop,Large,2,2375,13669,63.1
JT15D5,LAmax,A,670,Jet,Large,2,2800,14100,38.5
JT15D5,PNLTM,A,670,Jet,Large,2,2800,14100,44.2
JT15D5,EPNL,A,670,Jet,Large,2,2800,14100,52.4
JT15D5,LAmax,A,1500,Jet,Large,2,2800,14100,54.4
JT15D5,LAmax,D,1500,Jet,Large,2,2800,14100,54.4
JT15D5,SEL,A,670,Jet,Large,2,2800,14100,54.7
JT15D5,LAmax,D,2100,Jet,Large,2,2800,14100,59.2
JT15D5,PNLTM,A,1500,Jet,Large,2,2800,14100,62.2
JT15D5,PNLTM,D,1500,Jet,Large,2,2800,14100,62.2
JT15D5,PNLTM,D,2100,Jet,Large,2,2800,14100,67.5
JT15D5,EPNL,A,1500,Jet,Large,2,2800,14100,70.4
JT15D5,EPNL,D,1500,Jet,Large,2,2800,14100,70.4
JT15D5,SEL,A,1500,Jet,Large,2,2800,14100,71.3
JT15D5,SEL,D,1500,Jet,Large,2,2800,14100,71.3
JT15D5,EPNL,D,2100,Jet,Large,2,2800,14100,75.7
JT15D5,SEL,D,2100,Jet,Large,2,2800,14100,75.9
JT15D1,LAmax,A,300,Jet,Large,2,3050,14700,37.1
JT15D1,LAmax,A,600,Jet,Large,2,3050,14700,39.6
JT15D1,PNLTM,A,300,Jet,Large,2,3050,14700,40
JT15D1,PNLTM,A,600,Jet,Large,2,3050,14700,41.2
JT15D1,LAmax,D,1200,Jet,Large,2,3050,14700,44.6
JT15D1,EPNL,A,300,Jet,Large,2,3050,14700,48.2
JT15D1,LAmax,D,1550,Jet,Large,2,3050,14700,48.4
JT15D1,EPNL,A,600,Jet,Large,2,3050,14700,49.4
JT15D1,PNLTM,D,1200,Jet,Large,2,3050,14700,51.6
JT15D1,SEL,A,300,Jet,Large,2,3050,14700,52.3
JT15D1,SEL,A,600,Jet,Large,2,3050,14700,53.5
JT15D1,PNLTM,D,1550,Jet,Large,2,3050,14700,54.1
JT15D1,EPNL,D,1200,Jet,Large,2,3050,14700,59.8
JT15D1,SEL,D,1200,Jet,Large,2,3050,14700,60.6
JT15D1,EPNL,D,1550,Jet,Large,2,3050,14700,62.3
JT15D1,SEL,D,1550,Jet,Large,2,3050,14700,63.9
PW530A,LAmax,A,500,Jet,Large,2,3010,14800,37.1
PW530A,LAmax,A,800,Jet,Large,2,3010,14800,39.7
PW530A,PNLTM,A,500,Jet,Large,2,3010,14800,42.3
PW530A,LAmax,D,1200,Jet,Large,2,3010,14800,42.6
PW530A,PNLTM,A,800,Jet,Large,2,3010,14800,45.2
PW530A,LAmax,D,1600,Jet,Large,2,3010,14800,45.9
PW530A,LAmax,D,2000,Jet,Large,2,3010,14800,47.9
PW530A,PNLTM,D,1200,Jet,Large,2,3010,14800,48.3
PW530A,EPNL,A,500,Jet,Large,2,3010,14800,49.2
PW530A,LAmax,D,2400,Jet,Large,2,3010,14800,50.7
PW530A,EPNL,A,800,Jet,Large,2,3010,14800,52
PW530A,PNLTM,D,1600,Jet,Large,2,3010,14800,52.5
PW530A,EPNL,D,1200,Jet,Large,2,3010,14800,54.4
PW530A,SEL,A,500,Jet,Large,2,3010,14800,54.6
PW530A,PNLTM,D,2000,Jet,Large,2,3010,14800,55.5
PW530A,SEL,A,800,Jet,Large,2,3010,14800,57.1
PW530A,EPNL,D,1600,Jet,Large,2,3010,14800,57.8
PW530A,PNLTM,D,2400,Jet,Large,2,3010,14800,58.3
PW530A,SEL,D,1200,Jet,Large,2,3010,14800,58.4
PW530A,EPNL,D,2000,Jet,Large,2,3010,14800,59.8
PW530A,SEL,D,1600,Jet,Large,2,3010,14800,61.4
PW530A,EPNL,D,2400,Jet,Large,2,3010,14800,63.1
PW530A,SEL,D,2000,Jet,Large,2,3010,14800,64.5
PW530A,SEL,D,2400,Jet,Large,2,3010,14800,67
CJ610,LAmax,A,700,Jet,Large,2,2620,15000,50.1
CJ610,PNLTM,A,700,Jet,Large,2,2620,15000,54.3
CJ610,EPNL,A,700,Jet,Large,2,2620,15000,62.5
CJ610,SEL,A,700,Jet,Large,2,2620,15000,65.1
CJ610,LAmax,A,1800,Jet,Large,2,2620,15000,66.7
CJ610,LAmax,D,1800,Jet,Large,2,2620,15000,66.7
CJ610,LAmax,D,2600,Jet,Large,2,2620,15000,68.9
CJ610,PNLTM,A,1800,Jet,Large,2,2620,15000,72.7
CJ610,PNLTM,D,1800,Jet,Large,2,2620,15000,72.7
CJ610,PNLTM,D,2600,Jet,Large,2,2620,15000,74.4
CJ610,EPNL,A,1800,Jet,Large,2,2620,15000,80.9
CJ610,EPNL,D,1800,Jet,Large,2,2620,15000,80.9
CJ610,SEL,A,1800,Jet,Large,2,2620,15000,81.6
CJ610,SEL,D,1800,Jet,Large,2,2620,15000,81.6
